@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@attribute numberOfPositiveWords integer
@attribute numberOfNegativeWords integer
@attribute numberOfNeutralWords integer
@data
' gumby answer forward woes. bomb squad believing, believing gumby. #releasethegumby ',positive,0,1,0
' @miss_lydiard meet sylvia park tomorrow lunch wanna stay weekend?! vou course lmk :) ',positive,0,0,0
' @ivan_dotcom pokito missed lol better tomorrow mr.mickels class(: ',positive,1,0,0
' listen hour 2 expansive interview poet frank x. walker works murray state november 1. #soundsgood ',positive,2,0,0
' @igobyjas oii oii ! ',positive,0,0,0
' careless tour hit 8 places cali. haha fuck, yoo. ',negative,0,1,0
' @djdannyavila heard coming calgary 23rd!! best news ever!! going kill man!! :) ',positive,1,1,0
' heard lauryn hill & nas concert cried . going . ',neutral,0,0,0
' @addismom22 feb 22 kfc yum center, down?! ',positive,0,0,0
' winans singing tomorrow. it. ',positive,0,0,0
' knicks tonight, upset havent tweeted it, shits gotta real smh tomorrow night, knicks/heat ',negative,1,1,0
' holger selection headache carl valeri coming injury 30 mins tonights game cesena ',negative,0,3,0
' rchs picture yearbook "just hanging out" friends message friday!!! #indesperateneed ',neutral,1,0,0
' @andrewwk going santos party house saturday "weird weird standards" party. well rage!! ',positive,1,1,0
' catch ncaa mens basketball finals game 3 today, 12:45pm live tv5 replay aktv pba 2nd game. #sanbedaredlions ',neutral,1,1,0
' watching puss boots & ghost rider: spirit vengeance family! d&d character roll bio tomorrow! ',neutral,1,1,0
' clue song well performing morning week: "new zealand" ',neutral,1,0,0
' truck will private event cart will lent space 6th ave canal st. ',objective,2,0,0
' time pilluck! recording drums furys coming vinyl @furyofficial ',objective,0,0,0
' p&g shifts top executives singapore: singapore: consumer giant procter gamble (p&g) friday wil... ',neutral,1,1,1
' knicks vs. hawks: atlanta, york battle playoff positioning ...: knicks hawks battle sunday a... ',objective,0,2,0
' #tragickingdom best album favorite song album #excusememr. sunday morning sixteen close seconds... ',positive,2,1,0
' love vid!! 1st time ive it!--- jules explains - david archuleta sings "nandito ako." @youtube ',positive,1,0,0
' big day tomorrow! sandy gonna half bj! eastbound stage big fish shtick 2:30pm. zombie bar crawl! ',positive,0,1,2
' carrie underwood tickets saturday night charlotte?? ',neutral,0,0,0
' yearbook pictures jr.larcs will tuesday, 6th lunch library parking lot side ',objective,1,0,0
' #media #us #ru klitschko big hit ukrainian voters: kiev (afp) - ukraine prepared saturday... #eu #uk #obama ',objective,1,0,1
' going geoff tate backstage live san antonio, tx - nov 21 ',objective,1,0,0
' going school yolo... & essay gonna ready tomorrow. ',negative,1,0,0
' seriously, white lies. love band. "lets grow die time." #romanceisntdead ',objective,2,0,0
' photos tuesday morning aftermath hurricane #sandy 2 block span long beach, ny ',objective,0,2,0
' born july life path mick jagger. ',neutral,0,0,0
' surprisingly, will bob head mick jagger son sardar. yes, judge now. ',positive,1,0,0
' friday night knicks heat watching game wit dont fuck lbs engaged mf #knicksnation #teammelo ',negative,0,1,0
' sarah g. day funday dont runday manic monday ',positive,0,1,0
' here? dude party ;lol ..>.< ',positive,0,0,0
' photos: 10th hour & fear played basement santos party house ',objective,0,1,0
' bust baby plies feat ne-yo ishhh 8th grade year! reminds ex.... good way. best years ',positive,3,0,1
' best mom award mom tickets carrie underwood hunter hayes concert sunday! #ahhhhhh <3 ',positive,2,0,0
' @taecyeonbiased guys 1st 2pm members :) "eng 2pm taecyeon #23 top 100 idol countdown" youtube ',objective,2,0,0
' hearing will longer lies maya nasser twitter again. #syria ',neutral,1,1,0
' york knicks vs. brooklyn nets season opener rescheduled november 26: game york knick... ',objective,0,1,0
' "men tomorrow will hardest patrols...cif turn in" hope ',negative,2,0,0
' hisd students perform gangnam-style dance voters polls: hisd working "get vote" november,... ',objective,1,0,0
' "@phillehh: playing todd bertuzzi golf match sunday #ridgemountcup" head, "uh living?" ',neutral,0,0,0
' "music sun", "a girl me", "good girl bad", "rated r", "loud", "talk talk". > > > > > > > > ',objective,0,0,0
' watching valor. forward #ultimatfighterfridays friday (: @coltonsmithmma contract bag ',positive,0,0,0
' app status changed "in review" sunday? work 7 days pre-holiday crunch time cupertino? ',objective,0,0,0
' speech tomorrow.....im nervous faaaaaaccck. ',positive,0,1,0
' week social media week tomorrow lga hosting tweeterthon will in. follow work #ourday ',objective,1,0,0
' rella wake shank day thn pczeey nxt day dat 3rd baby pappy lol #shedontknow ',positive,0,0,1
' siapin nih..like g6,that beautiful,just dance,boom boom pow! ready day tomorrow ',positive,2,0,0
' spb bringing @joshwolfcomedy week today! tuesday 7 constitution hall! ',objective,0,0,0
' then..diet starts monday, wisest choice christmas coming up..but gonna smash it!! ',positive,0,1,0
' "like" malcolm changed life... jump head 1st deep pool water you... ',objective,0,1,0
' morgan state calls timeout. dsu 28, morgan state 20 7:09left 4th quarter. morgan state going 4th dsu 22 ',objective,0,0,0
' excellent wed! 2 boxes portos goodies studio re-enforcing this! #redvelvetcupcakebreakfast ',positive,1,0,0
' totally political process dont feel going super tuesday, remember... ',neutral,1,0,1
' feb. issue: splurge lent? nova splurge? lent? ',neutral,0,0,0
' vta scores td 3rd drive ledesma pass winans ztra point good 10-0 8 min left 2nd qtr ',positive,2,0,1
' @cnblueunlimited @cnblue_4 boice thing ^^.. watch love rain tv today 3rd episode.cant wait modern cast! ',positive,2,0,0
' 4th season oth, dont understand loves lucas scott. pisses off. ',negative,1,0,0
' gift ideas 60th coming october - 40 ridiculously expensive gadgets filthy rich @mashable ',neutral,1,3,0
' weve canadia... caltrain #stanford! #quatchi #s @ 22nd street caltrain station ',neutral,0,0,0
' @cthreeo3 lots spare jars. marmalade jam g&i made. glad ash easy & uplifting. ',positive,3,1,0
' @davidarchie josh bradley turns 23 tommorrow!! july 15. hope well you!! enjoying music. halo-halo! ',positive,2,0,0
' candle mitch room burning 3 hours fall asleep ',negative,0,1,0
' hold up!! cant plans tomorrow.. tomorrow game time.. 3:30pm >.> knicks heat.. ',neutral,0,1,0
' jennifer aniston & drew barrymore: fill blank!: 2012 lacma art + film gala saturday, jennifer a... ',neutral,0,0,0
' tomorrow plan playing blackops zombies, gears3, mw3 day 2day live code. gaming? ',positive,1,0,0
' khader adnan released, struggle continues. 1,600 palestinians open ended strike today mark prisoner day. ',negative,1,3,0
' @colin_kazim08 love ps vita. sisters 16th coming overjoyed one. #ckrcomp ',positive,2,0,0
' time test steams games 9pm eastern going live w/ @captnbarbosa 1st weekly gears3 funfest. ',neutral,1,0,0
' behold lamb, precious lamb god, born in2 sin live again, precious lamb god ',neutral,3,1,0
' win tickets manchester city ajax ford!: source: --- thursday, november 0... #mcfc ',objective,0,0,0
' playing hip hop based set danny saturday plan b, brixton, alongside dub ratz... ',neutral,0,0,0
' 1st xi liverpool 4th xi 2-1 victory aet extra time winner man match @danielwalsh6 ',positive,1,0,0
' tough tonight boys. played hard short 4-1 loss eng. davies scored lone goal. la ronge tomorrow ',negative,0,3,0
' top holidays side chicks. 5) presidents day 4) day valentines day 3) black friday 2) april fools day 1) groundhogs day ',objective,1,1,0
' ok, going dethklok, black dahlia murder remains oakland nov 26? ',neutral,0,2,0
' â€œ@picesbaby123: @quanway_twitty huh?! lmaoâ€? lol mother, correct? ',negative,0,0,0
' play playstation vita exclusive silent hill: book memories tomorrow: ',objective,1,0,1
' meet amazing race philippines contestants. watch tv5 starting tomorrow. excited show. ',positive,2,0,0
' idk thursday hawaii friday #tbt play homie time!! ',objective,0,0,0
' josh bradleys birthday tomorrow. time party? lol ',positive,0,0,0
' honor national margarita day enjoy $3 margaritas, usual wednesday specials $1 drafts free food buffett!!! ',positive,3,0,0
' nicest teacher (mr. rocha) extra day hw didnt it!! guess waking early tomorrow. ',positive,0,0,0
' @njrod official settings gears3 july 21st. execution maps- checkout swaps, clocktower swap boom digger ',objective,1,0,0
' elon universitys colors maroon gold. green, white orange tomorrow 7:30. ',neutral,1,0,0
' 2nd amendment rights nice machine gun kelly illegal ',positive,2,1,0
' vitali klitschko stopped manuel charr fourth round retain wbc heavyweight title saturday night. #eotpro ',negative,0,0,0
' mexico city... will fail 2 subjects going school week. rih mexico 14th. omg... ',negative,1,1,0
' @jasonmarkcook great meet sat. free weds 24 oct 9pm residency: leicester square theatre, well sort comp. ',positive,3,0,0
' going rodeo tomorrow night :( stupid surgery ',negative,0,1,0
' talk malcolm day... kicked outta school 8th 9th grade radical black panthers ',negative,0,2,0
' happy sunday retro members! movie day is: project ',positive,1,0,0
' watched valor night man shoot gun score extra attractive points... ',neutral,2,0,0
' haye waits vitali decision - david haye will find december fight vitali klitschko g... ',objective,1,1,0
' rodeo miami named rodeo year 3rd straight year! congrats rodeo miami team! ',positive,1,0,0
' rt@angelpike: call hospital iqaluit & press 2 english. cdn experience hearing aboriginal language 1st choice ',neutral,1,0,0
' heat gunna kill knicks tomorrow ',negative,0,1,0
' damn, kevin love didnt break hand game practice *ai voice* ',negative,1,2,0
' @therock wins @wwe title #royalrumble, defend 1st elimination chamber match. ',positive,1,1,0
' well, havent homework hour, but, lyrics #forevermore , wya nandito ako heart now. :) ',positive,1,0,0
' finished season 3 league finally watching valor. operation lazy saturday night nearing completion. ',neutral,0,1,1
' candela :zeman abilities players ùƒø§ù†ø¯ùšù„ø§ : ùšø¬ø¨ ø¹ù„ù‰ ø²ùšù…ø§ù† øªù?ø¬ùšø± ø·ø§ù‚ø§øª ù„ø§ø¹ø¨ùšù‡ #asroma ',positive,1,0,0
' tonight, roast chicken. tomorrow, chicken soup. love job cook social justice. ',positive,1,0,0
' mention shrove tuesday?? ',positive,0,0,0
' me, @mozidesigner @sjosz play games, #ff cuz totally sweet cool. #borderlands2 #me3 #gears3 ',positive,1,0,0
' valor official screwed tomorrow.. audis bmws good snow.... #valorproblems #richkidproblems #letsgetoursecondcarsout ',negative,2,0,0
' front tomorrows telegraph sport supplement says: "rodgers ready ditch highly paid stars summer clear out". ',negative,3,0,0
' 1st episode careless tv europe facebook, sure "like" - #teamtyga ',objective,1,1,0
' dethklok, remains, black dahlia murder november? dig it! ',positive,1,2,0
' playstation vita will receive great additions games: previous blog post the... ',positive,2,0,0
' cant help wonder washington monument didnt utilize grounds create huge sun dial pic.twitter.com/9ftnktms ',neutral,2,0,1
' will photo eating halo halo tomorrow will send @archuletaphils ! josh bradleys birthday! ',neutral,2,0,0
' @kathrynrhian right, ill plan ha. suppose final deadline december problem ',positive,0,2,1
' catch lemon hermosa saturday pad ',objective,0,0,0
' "yolo" gonna living life love life mother #rns ',positive,1,0,0
' @aidilizwann agent wanna continue adidas office monday @ 2pm! days alr! quick. ',neutral,0,0,0
' ready wednesday drink specials wednesday - 3-8pm margarita day ( bar brand only)... ',neutral,1,1,0
' zumba tonight 5:30 pm balance fitness. 370 davenport ave, 3rd floor haven ct. ladies.... ',objective,1,0,1
' good 3rd quarter sacramento kings forever. ',negative,1,0,0
' cant wait track season. wake saturday morning execute & compete & fun ðÿ?ƒðÿ’¨ðÿœÿðÿ˜š ',objective,1,0,0
' going knicks vs. heat game tomorrow. #hype time basketball game 9. ',positive,0,2,0
' friday join mass 9am & 5:30pm + day adoration st angelas #mattapan catholic church @bostoncatholic #boston bilangual ',objective,0,0,0
' @gwendolyn__ better seat katie tomorrow! #party? ',positive,1,0,0
' margaret cho tonight leicester square theatre. brilliant woman, intuitive, insightful, sexy. 31st go!! ',positive,1,0,0
' tuesday bd going malcolm register school! ',objective,0,0,0
' going 7th grade yearbook laugh. #memories ',positive,0,0,0
' pick lax november 20 ? haha ',neutral,0,1,0
' @llcoolj people mick jagger is...you aint old, skool cmon! mick jagger lot years you! ',negative,0,0,0
' @kirstycameron2 yo yo sylvia park 6 tomorrow gonna meet blacks @stephanietannz come. ',neutral,0,0,0
' films pratt: ghost rider: spirit vengeance, free screening, sat, aug 4, 1pm, southeast anchor ',neutral,2,0,0
' friday open mic ajax gunna test tunes at. play, wanna experiment crowd, holla! ',neutral,1,0,0
' "im going throwing up... diet starts tomorrow." -@alwhit14 ',negative,0,0,0
' xhosa & zulu guys apply morvite face hot avoid sun burn :/ ',neutral,1,2,0
' grand! opening! "orlando live" formally "lax" classic wknd! friday, saturday, sunday! biggest ',objective,1,0,0
' hate free crib :/ ',neutral,1,1,0
' happy sixth may, referred national hate inventor margarita day. ',positive,1,1,0
' going watch brooklyn nets - york knicks tonight postponed, knicks gonna butt-fucked miami tomorrow :( ',negative,0,0,0
' & wtf directioner??? 1st didnt care curious ',positive,2,0,0
' @tyga ay release hotelcalifornia feb careless ? ',neutral,0,1,0
' leading off: marathon on, nets-knicks off, doesnt belong nyc post-sandy? ',negative,1,0,0
' evening maya angelou 7:30 p.m. oct. 4 elon universitys alumni gym. $12. tickets sept. 13. (336) 278-5610. ',objective,0,0,0
' price: vitali fight: david price fight vitali klitschko tomorrow - admits ... #sports ',neutral,0,1,0
' social justice: paper tomorrow? @stephenwulff8 @stevi_mo @s1mple_jack @gen__beauregard @50_shadesofclay ',neutral,0,0,0
' tomorrow 12pm, will finally watch filthy rich clip youtube #filthyrichclip ',neutral,2,1,1
' lamb god coming town 12th!!!!!!!!!!!!!!!! #omg soooo excited xd cant wait pit crazy! \m/ ',positive,1,0,0
' .@repjeffdenham sues @dccc campaign ads house votes @petekthehill ',objective,0,0,0
' handed application marie colvin scholarship sunday times. exciting moment. ',positive,1,0,0
